------ Execution Data ------ 

Tamanho do Cubo: 25x25x25
N° de Células: 15625
Células Bloqueadas: 4687 (30%)
Número de Rotas (Start- Goal): 6000

 Block   ;G(n) ;Tempo (ms) 
[15,21,10]  ;  32  ;  39
[4,11,6]  ;  0  ;  0
[24,20,22]  ;  0  ;  0
[13,10,21]  ;  31  ;  45
[10,20,10]  ;  0  ;  0
[12,17,3]  ;  32  ;  57
[23,8,2]  ;  0  ;  0
[22,20,16]  ;  0  ;  0
[17,15,23]  ;  0  ;  0
[3,5,24]  ;  0  ;  0
[3,0,16]  ;  14  ;  3
[16,24,1]  ;  0  ;  0
[23,23,13]  ;  0  ;  0
[3,9,8]  ;  30  ;  31
[21,15,1]  ;  16  ;  3
[12,19,4]  ;  12  ;  1
[2,19,14]  ;  21  ;  2
[19,22,5]  ;  41  ;  61
[1,1,10]  ;  45  ;  125
[5,10,18]  ;  27  ;  11
[4,2,1]  ;  21  ;  4
[19,8,8]  ;  11  ;  2
[15,22,18]  ;  33  ;  45
[15,18,20]  ;  26  ;  20
[18,14,12]  ;  0  ;  0
[7,15,13]  ;  0  ;  0
[11,0,4]  ;  24  ;  20
[15,10,9]  ;  0  ;  0
[6,4,8]  ;  0  ;  0
[3,1,1]  ;  0  ;  0
[15,14,18]  ;  0  ;  0
[8,21,11]  ;  0  ;  0
[14,12,3]  ;  22  ;  10
[1,18,5]  ;  0  ;  0
[10,2,16]  ;  19  ;  12
[22,21,24]  ;  0  ;  0
[19,3,8]  ;  0  ;  0
[12,14,8]  ;  0  ;  0
[16,5,9]  ;  16  ;  5
[19,24,22]  ;  35  ;  67
[7,3,10]  ;  23  ;  6
[12,14,19]  ;  0  ;  0
[2,17,17]  ;  25  ;  16
[11,3,5]  ;  28  ;  29
[3,15,1]  ;  0  ;  0
[19,3,0]  ;  24  ;  15
[17,19,7]  ;  0  ;  0
[13,8,12]  ;  21  ;  8
[24,24,23]  ;  44  ;  102
[15,22,12]  ;  22  ;  10
[4,3,19]  ;  32  ;  24
